ltable_id,rtable_id,label,explanation
0,0,1,"Both entities are Transcend SDHC flash memory cards, 4GB in size and have the same class speed rating of Class 2, therefore they are a match.</s>"
1,1,0,"t. While both entities have some relation to camera lighting, Entity A is a micro video camera, while Entity B is a high-power panel for digital slr camera lights. Therefore, they are not a match."
2,2,0,"While Entity A refers to a specific model of Sony remote, Entity B refers to a specific model of Sony camera body, they are not a match."
3,3,0,"rBoth entities refer to digital camera bodies, but they come from different brands: Entity A refers to the X1D Digital Medium Format Mirrorless Camera Body by Nikon, while Entity B refers to the Lumix Digital Camera DMC-FX75S by Panasonic, therefore they are not a match."
4,4,1,"s Both entities refer to the same product: action outdoor Suction Cup with Plate, they have the same name, and a similar description, therefore they’re a match.</s>"
5,5,0,"Both entities refer to security camera systems with various features, however, Entity A specifically is a Uniden UDR444 Guardian system with 2 cameras while Entity B is a Security Camera System with 4 Dome Infrared Cameras and Internet DVR, they are not the same product, therefore they do not match."
6,6,0,"yBoth entities refer to accessories for a GoPro camera, but Entity A is referring to a Correa de Cabeza y QuickClip GoPro and is sold in Spanish (€) while Entity B refers to a Fixation Frontale Casque and is sold in French with euros. Therefore, the two entities do not match due to language and currency difference."
7,7,1,"Both entities refer to Tamron AF 18-270mm f/3.5-6.3 Di-II VC LD Asph. (IF) Macro Lens for Nikon Digital SLR Cameras with same model number (18-270mm) and specifications like f/3.5-6.3, VC, LD and Di-II which makes them a match."
8,8,0,"ria> While both entities refer to digital SLR camera lenses, Entity A is a Panasonic Lumix G Vario lens with specifications of 14-45mm f3.5-5.6 ASPH. MEGA O.I.S, while Entity B is a Sigma 8-16mm f4.5-5.6 DC HSM Ultra-Wide Zoom lens, therefore they are not a match."
9,9,0,"rThe two entities are different in function and purpose. Axis Clear Dome camera is used for physical security and IP cameras, while GoPro is a camera used for photography. Additionally, the color of the product is different: Axis bubble is transparent while GoPro has a black color in its head strap and quick clip. Therefore, they are not a match."
10,10,0,"iBoth entities refer to camera accessories, but Entity A refers to a specific type of camera accessories called an ""MCOCEAN 7 in 1 Accessories Kit"" which is compatible with GoPro and SJCAM cameras, and Entity B refers to a ""Deluxe Back Pack 200EG"" which is not a camera accessory but rather a bag, therefore they are not a match."
11,11,0,"1 While both entities refer to compact flash cards, Entity A is specifically SanDisk Ultra brand and 16GB model while Entity B is just compact flash card with no specific brand and size mentioned, therefore they do not match."
12,12,0,"r Entity A refers to mydlink Home Panoramic HD Camera, model DCS-8200LH while Entity B refers to DCS-2310L Outdoor Camera, although both entities are"
13,13,1,"Both entities refer to Canon BG-E11 battery grip and specify the cameras it works for (5D MKIII, 5DS, 5DSR), the model number 5261B001 and the product code CDW.com which match, therefore they are a match."
14,14,1,"Both entities refer to the same IP Camera model, Foscam FI9901EP with the same specifications, and both have a POE function. Since they have the same title and refer to the same IP camera, they are considered a match.</s>"
15,15,0,"Both entities refer to Nikon cameras, however Entity A has DSLR as an additional label while Entity B lacks it, also Entity A’s lens is VR and Entity B’s is not, therefore they are not a match."
16,16,0,"1. They refer to two different Speedlight Flashguns models by Nikon; 2. Entity A is in English language while Entity B is in French language. 3. Therefore, they are not a match because of the language barrier and they refer to different products."
17,17,0,"While both entities are accessories for cameras, Entity A is a Soft Digits Accessories Kit specifically designed for GoPro cameras, while Entity B is a Canon Deluxe Gadget Bag. Therefore, they are not a match."
18,18,0,"r84449 While both entities refer to Sony products, Entity A refers to a camera body specifically the Sony HXR-NX100 Zwart, while Entity B refers to a zoom lens the Sony SEL1670Z 16-70mm f/4, therefore they are not a match."
19,19,0,"8s Entity A and Entity B are two completely different products. Entity A is a set of replaceable Netgear black silicone skins, while Entity B is a Mydlink Home HD monitor 360 cam, therefore they are not a match."
